day_hour,no_of_clients,no_get,no_post,no_head
2019-01-22 12,2551,892,833,826
2019-01-23 2,2787,985,954,848
2019-01-24 1,33,0,33,0
2019-01-22 15,2984,977,1172,835
2019-01-22 14,2751,1043,936,772
2019-01-23 7,2137,916,546,675
2019-01-22 18,2698,852,933,913
2019-01-22 10,2630,933,847,850
2019-01-23 6,2566,718,877,971
2019-01-23 12,1039,340,190,509
2019-01-23 14,587,125,168,294
2019-01-22 13,3020,882,1218,920
2019-01-22 6,2927,1002,836,1089
2019-01-23 20,99,69,11,19
2019-01-23 21,28,14,5,9
2019-01-23 17,287,158,73,56
2019-01-23 15,534,105,188,241
2019-01-22 23,2822,1019,967,836
2019-01-22 22,2729,928,981,820
2019-01-23 0,2794,1018,953,823
2019-01-22 3,2860,2845,15,0
2019-01-24 2,37,37,0,0
2019-01-22 20,2750,990,983,777
2019-01-23 8,1862,671,404,787
2019-01-23 1,2845,1018,949,878
2019-01-22 9,2420,794,811,815
2019-01-22 19,2737,805,1014,918
2019-01-23 10,1299,315,528,456
2019-01-24 0,20,15,3,2
2019-01-22 8,2770,1007,929,834
2019-01-22 5,2672,978,786,908
2019-01-23 11,1302,398,616,288
2019-01-23 19,181,45,79,57
2019-01-23 18,191,41,86,64
2019-01-23 22,31,16,6,9
2019-01-23 23,37,16,10,11
2019-01-23 3,2988,1072,908,1008
2019-01-22 4,2810,927,939,944
2019-01-22 16,2855,891,940,1024
2019-01-23 5,2351,917,726,708
2019-01-23 16,437,178,120,139
2019-01-22 7,3115,983,929,1203
2019-01-22 11,3047,1030,785,1232
2019-01-22 21,2893,930,1053,910
2019-01-22 17,2645,1042,796,807
2019-01-23 4,2864,974,877,1013
2019-01-23 9,1948,780,544,624
2019-01-23 13,878,247,269,362
